"Saccharomyces cerevisiae","Rhodosporidium toruloides","CS","EL","Trees","phylome","ensembl","orthomcl","treefam","eggnog","hogenom"
"A0A0C5LR79","M7WSG4","1.000","1","1","","","","","",""
"A0A0D3U262","M7WRY9","1.000","2","19","1.00/18","","","","",""
"P38798","M7WPQ0","1.000","2","3","1.00/2","","","","",""
"A0A0D4GTF2","M7XQX5","1.000","2","3","1.00/2","","","","",""
"A0A0D4RGR2","M7XDW2","1.000","1","1","","","","","",""
"A0A0C5YVT4","M7WJ30","1.000","2","3","1.00/2","","","","",""
"A0A0D4AD44","M7X6J3","1.000","1","1","","","","","",""
"P13587","M7WQA8","1.000","2","13","1.00/12","","","","",""
"A0A0D4UN27","M7XPB2","1.000","2","5","1.00/4","","","","",""
"A0A0C5Z1Q3","M7X2S6","1.000","2","3","1.00/2","","","","",""
"A0A0C6CDW6","M7WQV7","1.000","2","7","1.00/6","","","","",""
"A0A0C6ARC2","A0A061B7C7","1.000","2","3","1.00/2","","","","",""
"A0A0D3XXT6","M7WVC7","1.000","2","3","1.00/2","","","","",""
"E7Q883","M7XUG6","0.500","1","4","0.50/4","","","","",""
"A0A0D4NV03","M7WWE6","1.000","2","3","1.00/2","","","","",""
"M!03904821","M7WW35","0.714","1","7","0.83/6","","","","",""
"A0A0D4TT99","M7WWK7","1.000","1","6","1.00/6","","","","",""
"A0A0D4LWB1","M7WY44","1.000","2","5","1.00/4","","","","",""
"A0A0D4FN15","M7XXY9","1.000","1","2","1.00/2","","","","",""
"A0A0D4EBN4","M7X749","0.750","2","4","0.50/2","1.00/2","","","",""
"A0A0D4N112","M7WME9","1.000","2","3","1.00/2","","","","",""
"N1P7Y4","M7WXX1","0.667","1","3","1.00/2","","","","",""
"A0A0D4JAC6","M7WQY7","1.000","2","3","1.00/2","","","","",""
"A0A0D4AU89","M7XJS1","1.000","2","3","1.00/2","","","","",""
"A0A0C5R178","M7WWN7","1.000","2","11","1.00/10","","","","",""
"A0A0D4Y1I5","M7XIG2","1.000","2","3","1.00/2","","","","",""
"A0A0D4EGL9","M7X4T9","1.000","1","2","1.00/2","","","","",""
"N1P5N7","M7WQH5","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q6X7","M7WR49","1.000","2","3","1.00/2","","","","",""
"A0A0D4RUP4","M7WL54","1.000","1","2","1.00/2","","","","",""
"A0A0D3X6D0","M7WPJ4","1.000","1","1","","","","","",""
"A0A0D4JNL3","M7X9I5","1.000","1","1","","","","","",""
"A0A0D3TQD7","M7WYL9","1.000","2","3","1.00/2","","","","",""
"A0A0D4W175","M7XVV3","1.000","2","5","1.00/4","","","","",""
"A0A0D4Q2K1","M7X759","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q628","M7WZG6","1.000","2","3","1.00/2","","","","",""
"H9BH29","M7WPK3","1.000","2","11","1.00/10","","","","",""
"A0A0D4KPN3","A0A061B070","1.000","2","3","1.00/2","","","","",""
"A0A0C5YVH0","M7X358","1.000","2","3","1.00/2","","","","",""
"M!03905422","M7WPN2","1.000","2","11","1.00/10","","","","",""
"A0A0D4JM93","M7WX72","1.000","2","3","1.00/2","","","","",""
"P40469","M7WNG6","0.667","1","3","1.00/2","","","","",""
"A0A0C6AMA6","A0A061BBT3","1.000","2","4","1.00/2","1.00/2","","","",""
"A0A0D4FPG2","M7XB28","0.667","1","3","1.00/2","","","","",""
"A0A0D4TSY8","M7WYU7","0.667","2","3","0.50/2","","","","",""
"A0A0D4AUI6","M7WDS9","1.000","2","5","1.00/4","","","","",""
"A0A0C5NZB2","M7WLE8","1.000","2","7","1.00/6","","","","",""
"A0A0C5Z1U7","M7WXL3","0.667","1","3","1.00/2","","","","",""
"A0A0C5LH98","M7X6R9","1.000","2","3","1.00/2","","","","",""
"A0A0C5ZZ89","M7X6H4","0.933","1","15","1.00/14","","","","",""
"Q05015","M7WRI0","0.667","1","3","1.00/2","","","","",""
"A0A0C5QLZ9","M7XMT8","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1F6","M7X347","0.600","2","5","0.50/4","","","","",""
"A0A0D4W017","M7XK18","1.000","2","3","1.00/2","","","","",""
"A0A0D4UMQ8","M7XYK8","1.000","2","3","1.00/2","","","","",""
"N1P5Z5","M7WJI2","1.000","1","10","1.00/10","","","","",""
"A0A0D4UN45","M7WJD4","1.000","2","3","1.00/2","","","","",""
"A0A0D3XY65","M7XZ93","0.667","1","3","1.00/2","","","","",""
"A0A0D4PEX7","M7X4P2","1.000","2","3","1.00/2","","","","",""
"E7Q2L8","M7XRP3","1.000","2","3","1.00/2","","","","",""
"A0A0D4UME3","M7WR98","0.667","1","3","1.00/2","","","","",""
"A0A0D4A505","M7X7A3","1.000","2","3","1.00/2","","","","",""
"A0A0D4QN51","M7WSF7","1.000","1","1","","","","","",""
"B3LTA3","M7XJ01","1.000","2","3","1.00/2","","","","",""
"A0A0D4GUG4","M7WZI0","1.000","2","7","1.00/6","","","","",""
"A0A0D4Y7U1","M7XLV2","1.000","1","2","1.00/2","","","","",""
"A0A0D4UMC4","M7XFZ3","1.000","2","3","1.00/2","","","","",""
"A0A0D4B467","M!04330445","1.000","1","2","1.00/2","","","","",""
"A0A0D4Q1S2","M7X6B3","1.000","2","15","1.00/14","","","","",""
"A0A0D4UM56","M7XZ85","1.000","2","5","1.00/4","","","","",""
"A0A0C6A1G8","M7WPJ4","0.500","1","2","0.50/2","","","","",""
"A0A0C6ARZ8","M7XTB2","1.000","2","3","1.00/2","","","","",""
"A0A0C5YV66","M7WT46","1.000","2","3","1.00/2","","","","",""
"A0A0D4AV16","M7WFW6","1.000","2","3","1.00/2","","","","",""
"A0A0C6CR07","M7WYC6","1.000","2","3","1.00/2","","","","",""
"A0A0D3SXQ8","M7WJX6","1.000","1","1","","","","","",""
"N1NW12","M7XGP2","1.000","2","7","1.00/6","","","","",""
"E7Q192","M7XBB3","1.000","2","3","1.00/2","","","","",""
"A0A0D4FPG9","M7X4L8","0.714","2","7","0.67/6","","","","",""
"A0A0D4N1T1","M7X6A0","0.667","1","3","1.00/2","","","","",""
"A0A0C6CNY3","M7XP69","0.667","2","3","0.50/2","","","","",""
"N1P351","M7WV93","1.000","2","3","1.00/2","","","","",""
"A0A0D4FWL1","M7XLU3","1.000","2","3","1.00/2","","","","",""
"A0A0C5G364","M7WSK5","0.600","2","5","0.50/4","","","","",""
"A0A0C5Z756","M7WNU3","1.000","2","3","1.00/2","","","","",""
"A0A0D4H831","M7WTW8","1.000","1","2","1.00/2","","","","",""
"A0A0D4V6Z4","M7X4B9","1.000","1","2","1.00/2","","","","",""
"P47116","M7XGL1","0.500","1","2","0.50/2","","","","",""
"E7Q760","M7XIW7","1.000","1","1","","","","","",""
"A0A0D3Y0T2","M7WUH0","1.000","2","3","1.00/2","","","","",""
"A0A0D4KN78","M7WP05","1.000","1","1","","","","","",""
"A0A0C6ACD5","M7X9Q1","1.000","2","3","1.00/2","","","","",""
"A0A0D4UNB9","M7XKX8","1.000","2","3","1.00/2","","","","",""
"A0A0C5YVF2","M7WPR2","1.000","2","3","1.00/2","","","","",""
"A0A0D4LRD0","M7WQ21","1.000","2","9","1.00/8","","","","",""
"A0A0D4AUQ3","M7WZ39","0.500","1","2","0.50/2","","","","",""
"A0A0D4Q3J7","M7WZL9","1.000","1","2","1.00/2","","","","",""
"A0A0C5YII9","M7XKM6","1.000","1","1","","","","","",""
"A0A0D3TUR6","M7WGH2","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1I2","M7XGA7","1.000","2","3","1.00/2","","","","",""
"A0A0D4WC44","M7WYU3","0.500","1","8","1.00/4","0.00/4","","","",""
"A0A0D4KQV2","M7XNZ4","1.000","2","11","1.00/10","","","","",""
"A0A0D3Y0C4","M7WID3","1.000","2","3","1.00/2","","","","",""
"A0A0D3Y9Y8","M7WU03","1.000","1","1","","","","","",""
"N1P304","M7WMT9","1.000","2","3","1.00/2","","","","",""
"A0A0D4GVW6","M7X0S9","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y202","M7XMR9","1.000","2","15","1.00/14","","","","",""
"A0A0D4AUL4","M7XXE3","1.000","2","3","1.00/2","","","","",""
"A0A0C6D225","M7X101","0.667","1","3","1.00/2","","","","",""
"A0A0D4UPZ0","M7XNA8","1.000","1","2","1.00/2","","","","",""
"A0A0C6AG23","M7XED6","0.667","1","3","1.00/2","","","","",""
"A0A0D3YC48","M7X343","1.000","2","3","1.00/2","","","","",""
"N1P196","M7WQD9","0.857","1","7","1.00/6","","","","",""
"A0A0C5XUC0","A0A061BIG9","1.000","2","4","1.00/2","1.00/2","","","",""
"A0A0D3UM19","M7WTL8","1.000","1","1","","","","","",""
"A0A0D4UMW9","M7XGZ8","1.000","1","1","","","","","",""
"E7Q4V3","M7X749","0.667","2","3","0.50/2","","","","",""
"A0A0C5ZZC5","M7WMM4","1.000","2","3","1.00/2","","","","",""
"A0A0D4GTT1","M7XJE2","0.778","2","9","0.75/8","","","","",""
"A0A0D4Q2U3","M7WVB7","0.714","2","7","0.67/6","","","","",""
"N1NX72","M7X2Y0","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1E0","M7WI20","1.000","2","3","1.00/2","","","","",""
"A0A0D3Y1E1","M7X534","1.000","2","3","1.00/2","","","","",""
"A0A0D3VZU2","M7WR22","1.000","1","1","","","","","",""
"A0A0D3UL98","M7WX04","1.000","2","3","1.00/2","","","","",""
"A0A0C5LTH5","M7XJ43","1.000","2","3","1.00/2","","","","",""
"A0A0D3UMF9","A0A061ASF9","1.000","2","3","1.00/2","","","","",""
"A0A0D4TW53","M7X7H4","0.909","1","11","1.00/10","","","","",""
"A0A0C6ART6","M7XT98","1.000","2","7","1.00/6","","","","",""
"N1P5Q5","M7X5V9","1.000","1","1","","","","","",""
"A0A0D4AK53","M7X109","1.000","2","3","1.00/2","","","","",""
"A0A0D4T411","M7X422","1.000","2","5","1.00/4","","","","",""
"A0A0D3SWF0","M7XD92","1.000","1","1","","","","","",""
"A0A0C5MSH1","M7X4N6","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q3V1","M7WXA7","1.000","1","2","1.00/2","","","","",""
"A0A0C5ZBZ7","M7WU50","1.000","1","1","","","","","",""
"A0A0D4AU09","M7WG12","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2V7","M7XDF0","1.000","1","2","1.00/2","","","","",""
"A0A0C6CW97","M7XJ44","1.000","2","3","1.00/2","","","","",""
"A0A0D3UJW7","M7WQI4","1.000","2","3","1.00/2","","","","",""
"N1P5F6","M7WSM5","1.000","2","7","1.00/6","","","","",""
"A0A0D4U5R1","M7XL44","0.667","1","3","1.00/2","","","","",""
"A0A0D3X4H6","M7WXY3","1.000","1","1","","","","","",""
"A0A0D3Y044","M7XGP7","1.000","2","3","1.00/2","","","","",""
"A0A0D4GUI3","M7WP96","1.000","2","3","1.00/2","","","","",""
"A0A0D4GTD5","M7X825","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2W4","M7WK40","1.000","2","5","1.00/4","","","","",""
"A0A0D4Y1E2","M7WHQ7","1.000","2","3","1.00/2","","","","",""
"B3LUN4","M7X195","1.000","2","3","1.00/2","","","","",""
"A0A0C6ARI1","M7XAF7","1.000","2","3","1.00/2","","","","",""
"A0A0D4RUS2","M7WMI6","1.000","2","3","1.00/2","","","","",""
"E7Q3D4","M7XW60","0.909","1","11","1.00/10","","","","",""
"N1NZZ8","M7WR01","1.000","2","3","1.00/2","","","","",""
"N1P8Z8","M7X1G9","1.000","1","1","","","","","",""
"A0A0D4SS41","M7X2N8","1.000","2","3","1.00/2","","","","",""
"A0A0D4GUJ3","M7X476","1.000","2","3","1.00/2","","","","",""
"E7Q2T1","M7WM75","1.000","2","3","1.00/2","","","","",""
"A0A0C5FLA2","M7X9M7","1.000","2","3","1.00/2","","","","",""
"A0A0D3ZSS6","M7X259","1.000","1","1","","","","","",""
"A0A0D4YUY0","M7WQ20","0.667","1","3","1.00/2","","","","",""
"A0A0C6CX00","M7X5P7","1.000","1","1","","","","","",""
"A0A0C5ZQT2","M7X5V4","1.000","2","3","1.00/2","","","","",""
"A0A0C6D1B2","M7X6W1","1.000","2","3","1.00/2","","","","",""
"A0A0D4EZ24","M7XKS3","1.000","2","3","1.00/2","","","","",""
"Q12234","M7WWZ3","1.000","1","2","1.00/2","","","","",""
"A0A0D3U251","M7X934","1.000","1","2","1.00/2","","","","",""
"A0A0D3UKY2","M7XSC4","0.667","1","3","1.00/2","","","","",""
"A0A0C6AFJ8","M7WHW6","1.000","1","2","1.00/2","","","","",""
"A0A0D4Q6Z7","M7WGR5","0.667","1","3","1.00/2","","","","",""
"A0A0D4FMU5","M7WST0","1.000","1","1","","","","","",""
"P22204","M7XFR9","1.000","2","7","1.00/6","","","","",""
"E7QAL8","M7XPY2","1.000","1","1","","","","","",""
"A0A0D4GX48","M7XDF8","1.000","1","1","","","","","",""
"A0A0D4Q1L0","M7WQH3","1.000","2","3","1.00/2","","","","",""
"A0A0D4GUR4","M7XM27","0.769","2","13","0.75/12","","","","",""
"A0A0D4N7H8","M7WW85","0.923","1","13","1.00/12","","","","",""
"A0A0D4ULY6","M7XU83","1.000","2","3","1.00/2","","","","",""
"A0A0C6CQW3","M7WM05","1.000","2","3","1.00/2","","","","",""
"A0A0C5R5B6","M7WKY9","0.933","2","15","0.93/14","","","","",""
"A0A0C6CDX5","M!04334752","1.000","2","5","1.00/4","","","","",""
"A0A0D4AJP7","M7WQ05","1.000","2","5","1.00/4","","","","",""
"A0A0C5YW27","M7WLH0","0.667","1","3","1.00/2","","","","",""
"A0A0D4Q2W7","M7XUU6","1.000","1","1","","","","","",""
"P43610","M7WSX8","1.000","2","11","1.00/10","","","","",""
"A0A0D4QR82","M7WJU6","0.667","1","3","1.00/2","","","","",""
"A0A0D4AUM6","M7XZK8","0.556","2","9","0.50/8","","","","",""
"A0A0D4GVE5","M7X3N3","1.000","2","3","1.00/2","","","","",""
"A0A0D4WC37","M7WFB4","1.000","1","4","1.00/4","","","","",""
"A0A0D4H979","M7WTM3","1.000","2","3","1.00/2","","","","",""
"A0A0D4T584","M7X1G6","1.000","1","4","1.00/4","","","","",""
"A0A0C5LH86","M7WZR7","1.000","1","1","","","","","",""
"A0A0C5NTG3","M7X8U4","0.600","2","5","0.50/4","","","","",""
"A0A0D4KNQ8","M7XLM3","1.000","2","3","1.00/2","","","","",""
"A0A0C5LTN2","M7X5N6","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2A6","M7WYP6","0.700","1","10","0.70/10","","","","",""
"A0A0C6AK01","M7XEA2","1.000","2","3","1.00/2","","","","",""
"A0A0D4RKM2","M7X414","1.000","2","3","1.00/2","","","","",""
"A0A0D3X5Q4","M7WFK5","0.667","1","3","1.00/2","","","","",""
"P40850","M7XLB5","1.000","2","3","1.00/2","","","","",""
"A0A0C5QMR9","M7XZS5","0.600","2","5","0.50/4","","","","",""
"A0A0D4I3H4","M7WVB6","1.000","2","3","1.00/2","","","","",""
"A0A0C5YNJ4","M7WUP3","1.000","1","2","1.00/2","","","","",""
"P40008","M7WPT4","1.000","2","3","1.00/2","","","","",""
"N1P9Z5","M7WPQ5","1.000","2","3","1.00/2","","","","",""
"A0A0C5LTV3","M7WGB6","0.667","1","3","1.00/2","","","","",""
"A0A0D4Y2G2","M7XLK9","1.000","2","3","1.00/2","","","","",""
"A0A0C6AC71","M7XIL6","1.000","2","3","1.00/2","","","","",""
"A0A0D4AUH5","M7XEH6","1.000","2","3","1.00/2","","","","",""
"A0A0D4YVD7","M7X9G1","1.000","1","1","","","","","",""
"A0A0C5LTJ3","M7XE53","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y3N6","M7XFB1","1.000","1","1","","","","","",""
"N1NVW1","M7X3G8","1.000","2","3","1.00/2","","","","",""
"A0A0D3XZX4","M7X2E5","1.000","2","3","1.00/2","","","","",""
"A0A0D4K712","M7X711","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q1F9","M7WW12","1.000","1","1","","","","","",""
"A0A0D4Q2L1","M7XFE4","1.000","2","3","1.00/2","","","","",""
"A0A0D4GTP1","M7XGD3","1.000","2","3","1.00/2","","","","",""
"N1NVX0","M7WXY3","1.000","1","1","","","","","",""
"A0A0D4TUA1","M7XDS9","1.000","1","1","","","","","",""
"P43583","M7XPA0","1.000","2","3","1.00/2","","","","",""
"M!03908397","M7XNK7","1.000","1","1","","","","","",""
"A0A0D4KN69","A0A061AF36","1.000","1","1","","","","","",""
"A0A0D4K885","M7WP31","1.000","2","3","1.00/2","","","","",""
"A0A0D4UB64","M7WMN2","1.000","2","3","1.00/2","","","","",""
"A0A0C6CQX4","M7WUP0","1.000","2","3","1.00/2","","","","",""
"A0A0D4YFY9","M7X5P3","0.667","1","3","1.00/2","","","","",""
"A0A0C5QPC1","M7XDY1","1.000","2","3","1.00/2","","","","",""
"A0A0D4GD51","M7WPS8","1.000","2","5","1.00/4","","","","",""
"A0A0D4AH33","M7XSQ1","1.000","2","3","1.00/2","","","","",""
"A0A024XPR5","M7WLZ2","1.000","1","2","1.00/2","","","","",""
"A0A0C6C478","M7XE45","1.000","2","3","1.00/2","","","","",""
"A0A0D3ZF07","M7WW02","1.000","1","1","","","","","",""
"N1NZX7","M7XBV3","1.000","2","19","1.00/18","","","","",""
"A0A0D4UNG8","M7XRG0","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2N5","M7XME8","1.000","2","3","1.00/2","","","","",""
"A0A0C5NW96","M7X0V6","1.000","2","3","1.00/2","","","","",""
"A0A0D4KQP1","M7WQE3","1.000","1","2","1.00/2","","","","",""
"M!03906278","M7XWP1","1.000","1","1","","","","","",""
"A0A0D4I3G6","A0A061B3U3","1.000","2","3","1.00/2","","","","",""
"A0A0D4FDD4","M7XRQ3","1.000","2","3","1.00/2","","","","",""
"A0A0D4GU63","M7XD58","1.000","2","15","1.00/14","","","","",""
"A0A0D3XIP2","M7XMH6","1.000","1","1","","","","","",""
"A0A0D4UM53","M7XYP9","1.000","2","3","1.00/2","","","","",""
"A0A0D4FWZ7","M7XR25","1.000","1","1","","","","","",""
"A6ZQJ1","M7WTM4","1.000","1","10","1.00/10","","","","",""
"A0A0D4RVC3","M7X2J2","1.000","2","5","1.00/4","","","","",""
"A0A0D4PGQ7","M7WXF9","1.000","1","2","1.00/2","","","","",""
"A0A0D4UPZ9","M7WQN5","1.000","1","1","","","","","",""
"A0A0D4ZMI4","M7X4W9","0.600","2","5","0.50/4","","","","",""
"A0A0D3T4N4","M7WQD7","1.000","2","3","1.00/2","","","","",""
"A0A0C5PIT3","M7X569","1.000","1","2","1.00/2","","","","",""
"A0A0C6D1T1","M7XBZ9","1.000","2","3","1.00/2","","","","",""
"A0A0D4AHH4","M7WVA9","1.000","2","3","1.00/2","","","","",""
"A0A0D4JBV1","M7XG60","1.000","2","3","1.00/2","","","","",""
"A0A0D4A513","M7XQP9","1.000","2","3","1.00/2","","","","",""
"M!03905354","M7XM92","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2B6","M7WSM3","1.000","1","1","","","","","",""
"A0A0D3Z195","M7WPE1","1.000","1","1","","","","","",""
"A0A0D4TUD7","M7XEV3","1.000","2","3","1.00/2","","","","",""
"A0A0C5FIN6","M7WZY6","1.000","2","7","1.00/6","","","","",""
"A0A0C5NW10","M7X3L7","0.636","2","11","0.60/10","","","","",""
"A0A0D4RK45","A0A061AJZ9","1.000","1","1","","","","","",""
"A0A0P0C0N3","M7XKI3","1.000","2","3","1.00/2","","","","",""
"N1P4M0","M7X3Q5","1.000","2","11","1.00/10","","","","",""
"N1P5K7","M7WK95","0.667","1","3","1.00/2","","","","",""
"A0A0D4I1E6","M7XD79","0.667","2","3","0.50/2","","","","",""
"Q02792","M7WVR8","1.000","1","1","","","","","",""
"A0A0D4GVR7","M7XUD5","1.000","2","3","1.00/2","","","","",""
"A0A0D4YG35","M7XH55","1.000","1","2","1.00/2","","","","",""
"Q03407","M7WGL0","1.000","1","2","1.00/2","","","","",""
"A0A0D4Q777","M7WTC1","1.000","1","1","","","","","",""
"A0A0D4XNJ5","M7X9L2","1.000","1","1","","","","","",""
"A0A0C5P6Z1","M7WZJ7","1.000","2","3","1.00/2","","","","",""
"A0A0D3Y0H0","M7XE18","1.000","1","2","1.00/2","","","","",""
"A0A0D4AU91","M7XQB1","1.000","1","1","","","","","",""
"A0A0C6AC94","M7X0I8","1.000","2","3","1.00/2","","","","",""
"A0A0C5M441","M7X9H8","1.000","2","3","1.00/2","","","","",""
"N1P7E2","M7XC53","0.923","1","13","1.00/12","","","","",""
"A0A0C5FND5","M7XQ32","0.667","1","3","1.00/2","","","","",""
"N1P334","M7XV63","1.000","2","3","1.00/2","","","","",""
"A0A0D4KPW2","M7WXF0","1.000","2","15","1.00/14","","","","",""
"A0A0D4KNN4","M7WZS1","0.800","1","5","1.00/4","","","","",""
"A0A0D4EZI4","M7XW07","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q2V3","M7X4S6","1.000","1","1","","","","","",""
"A0A0D4TSU4","M!04332820","1.000","1","2","1.00/2","","","","",""
"M!03909081","M7X411","1.000","2","3","1.00/2","","","","",""
"A0A0C6AS64","M7WXU0","1.000","1","1","","","","","",""
"A0A0D4XR50","M7XMV6","0.667","2","3","0.50/2","","","","",""
"A0A0D4NQE6","M7WQ95","1.000","2","3","1.00/2","","","","",""
"A0A0C5YMJ8","M7X6T4","1.000","2","7","1.00/6","","","","",""
"A0A0C6CRG2","M7WNA4","1.000","2","3","1.00/2","","","","",""
"M!03906393","M7WGT6","0.667","1","3","1.00/2","","","","",""
"N1NWI0","M7XY86","0.667","1","3","1.00/2","","","","",""
"A0A0D4GDH5","M7X3I4","0.600","2","5","0.50/4","","","","",""
"A0A0D4LZS3","M7WNM2","0.800","2","5","0.75/4","","","","",""
"A0A0D4Y379","M7WR85","1.000","2","3","1.00/2","","","","",""
"A0A0D3UK46","M7WZF9","0.500","1","2","0.50/2","","","","",""
"P09620","M7WRR5","1.000","2","5","1.00/4","","","","",""
"P47912","M7WNY8","1.000","2","7","1.00/6","","","","",""
"A0A0D4G253","M7WR46","1.000","2","3","1.00/2","","","","",""
"A0A0C6AKM7","M7XET6","1.000","2","3","1.00/2","","","","",""
"A0A0D4IL63","A0A061AVP0","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y241","A0A061B3S8","1.000","2","3","1.00/2","","","","",""
"A0A0D4WMT5","M7X677","1.000","2","3","1.00/2","","","","",""
"A0A0D4UMX9","M7WKU8","0.800","1","5","1.00/4","","","","",""
"A0A0C6AJY9","M7X6X6","1.000","2","3","1.00/2","","","","",""
"A0A0C6D1J9","M7XJG0","1.000","2","3","1.00/2","","","","",""
"A0A0D4EZN7","M7XNM8","1.000","1","1","","","","","",""
"A0A0D4I2Y7","M7X5A8","0.667","1","3","1.00/2","","","","",""
"A0A0D4Y2H4","M7XI48","1.000","2","3","1.00/2","","","","",""
"A0A0C6CWC5","M7WNY9","0.800","1","5","1.00/4","","","","",""
"A0A0C5ZK91","M7XFX8","1.000","2","5","1.00/4","","","","",""
"A0A0D4KQS5","M7WPK7","1.000","1","10","1.00/10","","","","",""
"N1P0K4","M7WWD3","0.600","2","5","0.50/4","","","","",""
"N1NVI1","M7XFD3","1.000","2","3","1.00/2","","","","",""
"A0A0D4Q6Q5","M7WV13","1.000","2","3","1.00/2","","","","",""
"A0A0D4I1X1","M7WYG9","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2R5","M7WZK8","1.000","1","12","1.00/12","","","","",""
"A0A0D3WN20","M7XXU1","1.000","2","3","1.00/2","","","","",""
"A0A0D3Y0G5","M7XHQ0","1.000","1","1","","","","","",""
"A0A0D3SGR5","M7WPP7","1.000","1","1","","","","","",""
"A0A0D4UKW2","M7WJ18","0.750","1","4","0.75/4","","","","",""
"A0A0C6A916","M7WT26","1.000","1","1","","","","","",""
"A0A0D4UM15","M7WSW6","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y288","M7X6A4","1.000","2","3","1.00/2","","","","",""
"A0A0D4UM91","M7X2P0","1.000","2","5","1.00/4","","","","",""
"A0A0D3UST8","M7XPV9","1.000","2","3","1.00/2","","","","",""
"A0A0D4KPM1","M7XJR0","1.000","2","3","1.00/2","","","","",""
"Q04806","M7WWF5","0.500","1","4","0.50/4","","","","",""
"A0A0C5MV10","M7WYW0","1.000","2","3","1.00/2","","","","",""
"A0A0D4KPJ0","M7X3E3","1.000","1","1","","","","","",""
"A0A0D4UMQ1","M7WPJ5","1.000","1","1","","","","","",""
"A0A0D4FN83","M7WM53","1.000","1","1","","","","","",""
"P38144","M7XPW9","0.769","2","13","0.75/12","","","","",""
"A0A0D4NXA6","M7XCK8","1.000","2","3","1.00/2","","","","",""
"A0A0D3SVC4","M7WVM6","0.923","2","13","0.92/12","","","","",""
"A0A0D4TEF1","M7XLR9","1.000","1","2","1.00/2","","","","",""
"M!03907817","M7WFZ6","0.909","1","11","1.00/10","","","","",""
"A0A0C5LHV0","M7WYZ8","1.000","2","3","1.00/2","","","","",""
"A0A0D4GXR4","M7XC53","0.923","1","13","1.00/12","","","","",""
"A0A0D4Y2J1","M7XYM0","0.667","1","3","1.00/2","","","","",""
"A0A0C6D8J2","M7WPZ7","0.600","2","5","0.50/4","","","","",""
"A0A0D3WNP0","M7WPS8","1.000","2","7","1.00/6","","","","",""
"A0A0D4JLV7","M7WSA2","1.000","2","3","1.00/2","","","","",""
"A0A0C5P801","M7WXC1","0.667","1","3","1.00/2","","","","",""
"A0A0C6D1M4","M7WKG4","1.000","1","2","1.00/2","","","","",""
"P32361","M7XG16","1.000","1","1","","","","","",""
"A0A0D4AVW6","M7WLF3","1.000","2","3","1.00/2","","","","",""
"A0A0D4Z5E0","M7X236","1.000","1","6","1.00/6","","","","",""
"A0A0D4Y3J5","M7WLG0","1.000","2","3","1.00/2","","","","",""
"P47117","M7XZA1","0.818","1","11","0.90/10","","","","",""
"A0A0D3ZS56","M7XN29","1.000","2","3","1.00/2","","","","",""
"A0A0D4J1S7","M7WU54","1.000","1","1","","","","","",""
"A0A0D4N1A5","M7WIU9","1.000","2","5","1.00/4","","","","",""
"A0A0D3T4U8","M7X0Q9","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y1P2","M7XFE5","1.000","1","1","","","","","",""
"A0A0D4GSQ4","M7WYS8","1.000","2","3","1.00/2","","","","",""
"A0A0D4UN53","M7WZ41","1.000","1","1","","","","","",""
"A0A0D4XE10","M7WRR7","1.000","1","4","1.00/4","","","","",""
"A0A0D4I1F2","M7X3X6","1.000","2","3","1.00/2","","","","",""
"A0A0D4YCP0","M7WSZ6","1.000","2","3","1.00/2","","","","",""
"A0A0D4N0Z0","M7XKR8","1.000","2","3","1.00/2","","","","",""
"A0A0D3ZSN0","M7XE28","0.778","2","9","0.75/8","","","","",""
"A0A0D4W1E4","M7X3F9","1.000","2","3","1.00/2","","","","",""
"A0A0C6D1L7","M7X0S4","1.000","2","3","1.00/2","","","","",""
"A0A0D3TTX9","M7WJX3","1.000","2","3","1.00/2","","","","",""
"A0A0D4NGI8","M7WRD8","1.000","1","10","1.00/10","","","","",""
"E7Q752","M7X090","0.556","2","9","0.50/8","","","","",""
"A0A0D3X2B6","M7WVH9","1.000","1","2","1.00/2","","","","",""
"A0A0C5LQU7","M7WY75","0.667","1","3","1.00/2","","","","",""
"A0A0C6CRF8","M7X5A2","1.000","1","2","1.00/2","","","","",""
"A0A0D4EB53","M7XII9","1.000","2","5","1.00/4","","","","",""
"A0A0D4GUV9","M7WDH6","1.000","2","3","1.00/2","","","","",""
"A0A0D4Y2Q6","A0A061BH51","1.000","1","1","","","","","",""
"A0A0C5YVC8","M7X368","1.000","2","3","1.00/2","","","","",""
